"","Gross.Charges.Itemcode","Gross.Charges.Description","Gross.Charges.CDM.Revenue.Code","Gross.Charges.HMC.DEFAULT","Gross.Charges.HMC.DEFAULT.Discount.Cash.Price","Gross.Charges.HB.UW.MEDICINE.SHARED.PURCHASED.LAB.SERVICES","Gross.Charges.HB.UW.MEDICINE.SHARED.PURCHASED.LAB.SERVICES.Discount.Cash.Price","Gross.Charges.HMC.DEFAULT..MOD.50.","Gross.Charges.HMC.DEFAULT..MOD.50..Discount.Cash.Price","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS.Discount.Cash.Price","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS..W.MOD.","Gross.Charges.HMC.HB.PROFEES...HMC.HB.SPECIAL.PROGRAMS..W.MOD..Discount.Cash.Price","Gross.Charges.CDM.Hcpcs","Gross.Charges.CDM.Modifier","Gross.Charges.Note"
"3889","03100137","HC HIGH HLA A, B, & C","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81379",NA,NA
"3890","03100138","HC HIGH HLA A","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81380",NA,NA
"3891","03100139","HC HIGH HLA B","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81380",NA,NA
"3892","03100140","HC HIGH HLA C","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81380",NA,NA
"3893","03100141","HC HIGH HLA DRB1","310","872","610.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81382",NA,NA
"3894","03100142","HC HIGH HLA DQB1","310","872","610.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81382",NA,NA
"3895","03100143","HC HIGH HLA DPA1 SSP","310","872","610.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81382",NA,NA
"3896","03100144","HC HIGH HLA DPB1 SSP","310","872","610.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81382",NA,NA
"3897","03100145","HC HIGH HLA DQA1 SSP","310","872","610.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81382",NA,NA
"3898","03100146","HC GENOMIC ARRAY EVALUATION","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81406",NA,NA
"3899","03100147","HC ANALY CYTOGEN MICROARRAY COPY","310","2,680","1876","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81228",NA,NA
"3900","03100148","HC ANALY CYTOGEN MICRO COPY & SIN","310","3,842","2689.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81229",NA,NA
"3901","03100149","HC MOPATH PROCEDURE LEVEL 7","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81406",NA,NA
"3902","03100150","HC MOPATH PROCEDURE LEVEL 8","310","2,900","2030","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81407",NA,NA
"3903","03100151","HC DNR CLASS I HR HL-A","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81380",NA,NA
"3904","03100152","HC DNR CLASS I HR HLA-B","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81380",NA,NA
"3905","03100153","HC DNR CLASS I HR HLA-C","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81380",NA,NA
"3906","03100154","HC DNR CLASS II HR HLA-DR","310","872","610.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81382",NA,NA
"3907","03100155","HC DNR CLASS II HR HLA-DQ","310","872","610.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81382",NA,NA
"3908","03100156","HC DNR CLASS II HR HLA-DP","310","872","610.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81382",NA,NA
"3909","03100157","HC DNR I & II HR A,B,C,DR","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81378",NA,NA
"3910","03100158","HC DNR CLASS I HR A,B,C","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81379",NA,NA
"3911","03100159","HC DNR CLASS II  HR HLA-DRB1,3,4,5","310","872","610.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81382",NA,NA
"3912","03100160","HC UNLISTED MOLELCULAR PATHOLOGY PROCEDURE","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3913","03100161","HC MOLECULAR PATHOLOGY PROCEDURE LEVEL 5","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81404",NA,NA
"3914","03100162","HC MOLECULAR PATHOLOGY PROCEDURE LEVEL 6","310","2,061","1442.7","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81405",NA,NA
"3915","03100163","HC HLA CLASS I & II, LRES","310","1,861","1302.7","656","459.2","N/A","N/A","N/A","N/A","N/A","N/A","81370",NA,NA
"3916","03100164","HC HLA DPB, HRES","310","872","610.4","493","345.1","N/A","N/A","N/A","N/A","N/A","N/A","81382",NA,NA
"3917","03100165","HC RNATE: MATERNAL HPA-1","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81400",NA,NA
"3918","03100166","HC RNATE: MATERNAL HPA-3","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81400",NA,NA
"3919","03100167","HC RNATE: MATERNAL HPA-5","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81400",NA,NA
"3920","03100168","HC RNATE: PATERNAL HPA-1","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81400",NA,NA
"3921","03100169","HC RNATE: PATERNAL HPA-3","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81400",NA,NA
"3922","03100170","HC RNATE: PATERNAL HPA-5","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81400",NA,NA
"3923","03100171","HC RPSAB: MATERNAL HPA-1","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81400",NA,NA
"3924","03100172","HC RPSAB: MATERNAL HPA-3","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81400",NA,NA
"3925","03100173","HC RPSAB: MATERNAL HPA-5","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81400",NA,NA
"3926","03100174","HC RPTSPA: HPA GENOTYPING","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81400",NA,NA
"3927","03100175","HC RBC GENOTYPE, SINGLE AG","310","447","312.9","351","245.7","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3928","03100176","HC RBC GENOTYPING, SSP/SNP","310","1,445","1011.5","795","556.5","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3929","03100177","HC RRHGM: RBC GENO, SSP","310","1,518","1062.6","795","556.5","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3930","03100178","HC PCA3 GENE SEQUENCE","310","N/A","N/A","300","210","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3931","03100179","HC BRCA 1&2, DUP/DEL","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81213",NA,NA
"3932","03100180","HC BRCA 1/2, FULL SEQUENCE","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81211",NA,NA
"3933","03100182","HC PMP22 DUP/DEL","310","N/A","N/A","1,515","1060.5","N/A","N/A","N/A","N/A","N/A","N/A","81324",NA,NA
"3934","03100183","HC BRCA 1, KNOWN","310","N/A","N/A","574","401.8","N/A","N/A","N/A","N/A","N/A","N/A","81215",NA,NA
"3935","03100184","HC BRCA 2, KNOWN","310","N/A","N/A","574","401.8","N/A","N/A","N/A","N/A","N/A","N/A","81217",NA,NA
"3936","03100188","HC CEBPA MUTATIONS SCREEN","310","1,756","1229.2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3937","03100189","HC CEBPA FULL SEQUENCING","310","974","681.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81403",NA,NA
"3938","03100190","HC APC; DEL/DUP","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81203",NA,NA
"3939","03100191","HC APC KNOWN","310","N/A","N/A","574","401.8","N/A","N/A","N/A","N/A","N/A","N/A","81202",NA,NA
"3940","03100192","HC APC; FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81201",NA,NA
"3941","03100193","HC CDH1, FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81406",NA,NA
"3942","03100194","HC EGFR MUTATION 1","310","1,694","1185.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81235",NA,NA
"3943","03100195","HC EGFR MUTATION 2","310","1,756","1229.2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3944","03100196","HC HBB, COMMON VARIANTS","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"3945","03100201","HC IDH1 COMMON VARIANTS","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81403",NA,NA
"3946","03100202","HC IDH2 COMMON VARIANTS","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81403",NA,NA
"3947","03100208","HC MUTHY COMMON VARIANTS","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"3948","03100209","HC MUTYH; FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81406",NA,NA
"3949","03100210","HC MUTYH KNOWN","310","N/A","N/A","574","401.8","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"3950","03100211","HC PTEN, DEL/DUP","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81323",NA,NA
"3951","03100212","HC PTEN, KNOWN","310","N/A","N/A","574","401.8","N/A","N/A","N/A","N/A","N/A","N/A","81322",NA,NA
"3952","03100213","HC PTEN, FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81321",NA,NA
"3953","03100215","HC SPINOCEREBELLAR ATAXIA 1","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3954","03100216","HC SPINOCEREBELLAR ATAXIA 2","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3955","03100217","HC SPINOCEREBELLAR ATAXIA 3","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3956","03100218","HC SPINOCEREBELLAR ATAXIA 6","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3957","03100219","HC SPINOCEREBELLAR ATAXIA 7","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3958","03100220","HC SCAPN: SCA1","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3959","03100221","HC SCAPN: SCA2","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3960","03100222","HC SCAPN: SCA3","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3961","03100223","HC SCAPN: SCA6","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3962","03100224","HC SCAPN: SCA7","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3963","03100225","HC TP53, FULL SEQUENCE","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81405",NA,NA
"3964","03100227","HC PALB2 FULL SEQUENCE","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81406",NA,NA
"3965","03100228","HC EPCAM, KNOWN","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3966","03100229","HC MITSGL: MT-ND5 MELAS","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"3967","03100230","HC TPDS: PROTHROMBIN SCRN","310","624","436.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81240",NA,NA
"3968","03100231","HC TPDS: FACTOR V DNA SCRN","310","810","567","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81241",NA,NA
"3969","03100232","HC IL28 GENOTYPE HCV IFN","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3970","03100233","HC BRAF V600E","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81210",NA,NA
"3971","03100234","HC EGFR MUTATION 1","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81235",NA,NA
"3972","03100235","HC KRAS MUTATIONS","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81275",NA,NA
"3973","03100236","HC EML4/ALK TRANS","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"3974","03100237","HC NRAS, EXON 1/2","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81404",NA,NA
"3975","03100238","HC RET SEQUENCE","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81405",NA,NA
"3976","03100239","HC KIT GENE ANAL.","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81404",NA,NA
"3977","03100240","HC AML: KIT TARGET ANALYSIS","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81404",NA,NA
"3978","03100241","HC IDH1 VARIANTS","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81403",NA,NA
"3979","03100242","HC IDH2 VARIANTS","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81403",NA,NA
"3980","03100243","HC TP53, 2-5 EXONS","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81404",NA,NA
"3981","03100244","HC KIT TARGETED ANAL.","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81404",NA,NA
"3982","03100245","HC HAREL: HBA1/HBA2, KNOWN MUT.","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3983","03100246","HC HASEQ: HBA1/HBA2, VARIANTS","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81405",NA,NA
"3984","03100247","HC Y-CHROMOSOME DELETION ANALYSIS FOR MALE INFERTILITY","310","974","681.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81403",NA,NA
"3985","03100249","HC BCL2 T(14;18) MBR/MBR","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81402",NA,NA
"3986","03100250","HC BCL2 T(14;18) MBR","310","974","681.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81403",NA,NA
"3987","03100251","HC BCL2 T(14;18) MBR MC7","310","974","681.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81403",NA,NA
"3988","03100252","HC BCL2 T(14;18) MBR MC8","310","974","681.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81403",NA,NA
"3989","03100253","HC BMPR1A: FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3990","03100254","HC BRIP1: FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3991","03100255","HC CDH1: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3992","03100256","HC CDKN2A: FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81404",NA,NA
"3993","03100257","HC MEN1: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81404",NA,NA
"3994","03100258","HC MEN1: FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81405",NA,NA
"3995","03100259","HC PALB2: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"3996","03100260","HC PRSS1: FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81404",NA,NA
"3997","03100261","HC RET: FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81406",NA,NA
"3998","03100262","HC SDHD: FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81404",NA,NA
"3999","03100263","HC SMAD4: FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4000","03100264","HC VHL: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81403",NA,NA
"4001","03100265","HC VHL: FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81404",NA,NA
"4002","03100266","HC ATM: DUP/DEL","310","1,844","1290.8","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4003","03100267","HC ATM: FULL SEQUENCE","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81408",NA,NA
"4004","03100268","HC BMPR1A: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4005","03100269","HC BRIP1: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4006","03100270","HC CDKN2A: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4007","03100271","HC MUTYH: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4008","03100272","HC PRSS1: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4009","03100273","HC RET: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4010","03100274","HC SDHB: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4011","03100275","HC SDHB: FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81405",NA,NA
"4012","03100276","HC SDHC: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4013","03100277","HC SDHC: FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81405",NA,NA
"4014","03100278","HC SDHD: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4015","03100279","HC SMAD4: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4016","03100280","HC TP53: DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4017","03100281","HC PRNTL ANEUPLOIDY, DNA, N","310","N/A","N/A","1,425","997.5","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4018","03100282","HC PRNTL ANEUPLOIDY, DNA, V","310","N/A","N/A","863","604.1","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4019","03100283","HC BRCA1/2 FS BRCA1 COM D/D","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81211",NA,NA
"4020","03100284","HC BRCA1/2  UNCOMM DEL/DUP","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81213",NA,NA
"4021","03100285","HC BRCA12 ASH J MUTS, KNOWN","310","N/A","N/A","702","491.4","N/A","N/A","N/A","N/A","N/A","N/A","81212",NA,NA
"4022","03100288","HC IL28; RS12979860 VARIANT","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81400",NA,NA
"4023","03100289","HC SCA1T: ATXN1 ALLELE EVAL","310","913","639.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"4024","03100290","HC SCA2T: ATXN2 ALLELE EVAL","310","913","639.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"4025","03100291","HC SCA3T: ATXN3 ALLELE EVAL","310","913","639.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"4026","03100292","HC SCA6T: CACNA1A ALLELE EV","310","913","639.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"4027","03100293","HC SCA7T: ATXN7 ALLELE EVAL","310","913","639.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"4028","03100294","HC SCAPN: ATXN1 ALLELE EVAL","310","913","639.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"4029","03100295","HC SCAPN: ATXN2 ALLELE EVAL","310","913","639.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"4030","03100296","HC SCAPN: ATXN3 ALLELE EVAL","310","913","639.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"4031","03100297","HC SCAPN: CACNA1A ALLELE EV","310","913","639.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"4032","03100298","HC SCAPN: ATXN7 ALLELE EVAL","310","913","639.1","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81401",NA,NA
"4033","03100299","HC SDHC; DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81404",NA,NA
"4034","03100300","HC SMAD4; FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81406",NA,NA
"4035","03100301","HC SMAD4; DUP/DEL","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81405",NA,NA
"4036","03100305","HC SCID BY TREC, PCR","310","N/A","N/A","123","86.1","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4037","03100306","HC PALB2, KNOWN","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81403",NA,NA
"4038","03100307","HC CCR5: DELTA 32BP DEL MUT","310","878","614.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81400",NA,NA
"4039","03100308","HC BCL2 T(14;18), MBR","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4040","03100309","HC BCL2 T(14;18), MBR MC7","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4041","03100310","HC BCL2 T(14;18), MBR MC8","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4042","03100311","HC LOW HLA A, B, & DRB1","310","2,975","2082.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81371",NA,NA
"4043","03100312","HC LOW HLA A, B, & DRB3,4,5","310","2,975","2082.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81371",NA,NA
"4044","03100313","HC LOW HLA DRB1","310","685","479.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81376",NA,NA
"4045","03100314","HC LOW HLA DRB3,4,5","310","685","479.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81376",NA,NA
"4046","03100315","HC EPIPX: SCN1A: FULL SEQ","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81407",NA,NA
"4047","03100316","HC EPIPX: ALDH7A1: FULL SEQ","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81406",NA,NA
"4048","03100317","HC EPIPX: ALDH7A1: DUP/DEL","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4049","03100318","HC MEGPX: PTEN: FULL SEQ","310","N/A","N/A","1,488","1041.6","N/A","N/A","N/A","N/A","N/A","N/A","81321",NA,NA
"4050","03100319","HC MEGPX: PTEN: DUP/DEL","310","N/A","N/A","522","365.4","N/A","N/A","N/A","N/A","N/A","N/A","81323",NA,NA
"4051","03100320","HC MEGPX: PIK3CA: FULL SEQ","310","N/A","N/A","1,488","1041.6","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4052","03100321","HC MEGPX: PIK3CA: DUP/DEL","310","N/A","N/A","522","365.4","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4053","03100323","HC TISSUE MICRODISSECTION","310","N/A","N/A","240","168","N/A","N/A","N/A","N/A","N/A","N/A","88381",NA,NA
"4054","03100324","HC UW ONCOPLX GENE DNA SEQ","310","N/A","N/A","2,640","1848","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4055","03100325","HC STK11 FULL SEQUENCE","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81405",NA,NA
"4056","03100343","HC ALCOHOL (ETHANOL), GAST","310","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","G6040",NA,NA
"4057","03100350","HC M/PHMTRC ALYS ISH QUANT/SEMIQ MNL EACH MULTIPRB","310","905","633.5","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","88377",NA,NA
"4058","03100351","HC IN SITU HYBRIDIZATION EA MULTIPLEX PROBE STAIN","310","648","453.6","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","88366",NA,NA
"4059","03100355","HC PIK3CA: FULL SEQUENCE","310","N/A","N/A","1,275","892.5","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4060","03100356","HC PIK3CA: DEL/DUP","310","N/A","N/A","447","312.9","N/A","N/A","N/A","N/A","N/A","N/A","81479",NA,NA
"4061","03100357","HC EXOME SEQ ANALYSIS","310","22,222","15555.4","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81415",NA,NA
"4062","03100358","HC EXOME SEQ COMPARE","310","48,926","34248.2","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","81416",NA,NA
